DateKey,FullDate,DayName,DayNumber,MonthName,MonthNumber,QuarterNumber,Year
20060128,1/28/2006,Saturday,7,January,1,1,2006
20060129,1/29/2006,Sunday,1,January,1,1,2006
20060130,1/30/2006,Monday,2,January,1,1,2006
20060131,1/31/2006,Tuesday,3,January,1,1,2006
20060201,2/1/2006,Wednesday,4,February,2,1,2006
20060202,2/2/2006,Thursday,5,February,2,1,2006
20060203,2/3/2006,Friday,6,February,2,1,2006
20060204,2/4/2006,Saturday,7,February,2,1,2006
20060205,2/5/2006,Sunday,1,February,2,1,2006
20060206,2/6/2006,Monday,2,February,2,1,2006
20060207,2/7/2006,Tuesday,3,February,2,1,2006
20060208,2/8/2006,Wednesday,4,February,2,1,2006
20060209,2/9/2006,Thursday,5,February,2,1,2006
20060210,2/10/2006,Friday,6,February,2,1,2006
20060211,2/11/2006,Saturday,7,February,2,1,2006
20060212,2/12/2006,Sunday,1,February,2,1,2006
20060213,2/13/2006,Monday,2,February,2,1,2006
20060214,2/14/2006,Tuesday,3,February,2,1,2006
20060215,2/15/2006,Wednesday,4,February,2,1,2006
20060216,2/16/2006,Thursday,5,February,2,1,2006
20060217,2/17/2006,Friday,6,February,2,1,2006
20060218,2/18/2006,Saturday,7,February,2,1,2006
20060219,2/19/2006,Sunday,1,February,2,1,2006
20060220,2/20/2006,Monday,2,February,2,1,2006
20060221,2/21/2006,Tuesday,3,February,2,1,2006
20060222,2/22/2006,Wednesday,4,February,2,1,2006
20060223,2/23/2006,Thursday,5,February,2,1,2006
20060224,2/24/2006,Friday,6,February,2,1,2006
20060225,2/25/2006,Saturday,7,February,2,1,2006
20060226,2/26/2006,Sunday,1,February,2,1,2006
20060227,2/27/2006,Monday,2,February,2,1,2006
20060228,2/28/2006,Tuesday,3,February,2,1,2006
20060301,3/1/2006,Wednesday,4,March,3,1,2006
20060302,3/2/2006,Thursday,5,March,3,1,2006
20060303,3/3/2006,Friday,6,March,3,1,2006
20060304,3/4/2006,Saturday,7,March,3,1,2006
20060305,3/5/2006,Sunday,1,March,3,1,2006
20060306,3/6/2006,Monday,2,March,3,1,2006
20060307,3/7/2006,Tuesday,3,March,3,1,2006
20060308,3/8/2006,Wednesday,4,March,3,1,2006
20060309,3/9/2006,Thursday,5,March,3,1,2006
20060310,3/10/2006,Friday,6,March,3,1,2006
20060311,3/11/2006,Saturday,7,March,3,1,2006
20060312,3/12/2006,Sunday,1,March,3,1,2006
20060313,3/13/2006,Monday,2,March,3,1,2006
20060314,3/14/2006,Tuesday,3,March,3,1,2006
20060315,3/15/2006,Wednesday,4,March,3,1,2006
20060316,3/16/2006,Thursday,5,March,3,1,2006
20060317,3/17/2006,Friday,6,March,3,1,2006
20060318,3/18/2006,Saturday,7,March,3,1,2006
20060319,3/19/2006,Sunday,1,March,3,1,2006
20060320,3/20/2006,Monday,2,March,3,1,2006
20060321,3/21/2006,Tuesday,3,March,3,1,2006
20060322,3/22/2006,Wednesday,4,March,3,1,2006
20060323,3/23/2006,Thursday,5,March,3,1,2006
20060324,3/24/2006,Friday,6,March,3,1,2006
20060325,3/25/2006,Saturday,7,March,3,1,2006
20060326,3/26/2006,Sunday,1,March,3,1,2006
20060327,3/27/2006,Monday,2,March,3,1,2006
20060328,3/28/2006,Tuesday,3,March,3,1,2006
20060329,3/29/2006,Wednesday,4,March,3,1,2006
20060330,3/30/2006,Thursday,5,March,3,1,2006
20060331,3/31/2006,Friday,6,March,3,1,2006
20060401,4/1/2006,Saturday,7,April,4,2,2006
20060402,4/2/2006,Sunday,1,April,4,2,2006
20060403,4/3/2006,Monday,2,April,4,2,2006
20060404,4/4/2006,Tuesday,3,April,4,2,2006
20060405,4/5/2006,Wednesday,4,April,4,2,2006
20060406,4/6/2006,Thursday,5,April,4,2,2006
20060407,4/7/2006,Friday,6,April,4,2,2006
20060408,4/8/2006,Saturday,7,April,4,2,2006
20060409,4/9/2006,Sunday,1,April,4,2,2006
20060410,4/10/2006,Monday,2,April,4,2,2006
20060411,4/11/2006,Tuesday,3,April,4,2,2006
20060412,4/12/2006,Wednesday,4,April,4,2,2006
20060413,4/13/2006,Thursday,5,April,4,2,2006
20060414,4/14/2006,Friday,6,April,4,2,2006
20060415,4/15/2006,Saturday,7,April,4,2,2006
20060416,4/16/2006,Sunday,1,April,4,2,2006
20060417,4/17/2006,Monday,2,April,4,2,2006
20060418,4/18/2006,Tuesday,3,April,4,2,2006
20060419,4/19/2006,Wednesday,4,April,4,2,2006
20060420,4/20/2006,Thursday,5,April,4,2,2006
20060421,4/21/2006,Friday,6,April,4,2,2006
20060422,4/22/2006,Saturday,7,April,4,2,2006
20060423,4/23/2006,Sunday,1,April,4,2,2006
20060424,4/24/2006,Monday,2,April,4,2,2006
20060425,4/25/2006,Tuesday,3,April,4,2,2006
20060426,4/26/2006,Wednesday,4,April,4,2,2006
20060427,4/27/2006,Thursday,5,April,4,2,2006
20060428,4/28/2006,Friday,6,April,4,2,2006
20060429,4/29/2006,Saturday,7,April,4,2,2006
20060430,4/30/2006,Sunday,1,April,4,2,2006
20060501,5/1/2006,Monday,2,May,5,2,2006
20060502,5/2/2006,Tuesday,3,May,5,2,2006
20060503,5/3/2006,Wednesday,4,May,5,2,2006
20060504,5/4/2006,Thursday,5,May,5,2,2006
20060505,5/5/2006,Friday,6,May,5,2,2006
20060506,5/6/2006,Saturday,7,May,5,2,2006
20060507,5/7/2006,Sunday,1,May,5,2,2006
20060508,5/8/2006,Monday,2,May,5,2,2006
20060509,5/9/2006,Tuesday,3,May,5,2,2006
20060510,5/10/2006,Wednesday,4,May,5,2,2006
20060511,5/11/2006,Thursday,5,May,5,2,2006
20060512,5/12/2006,Friday,6,May,5,2,2006
20060513,5/13/2006,Saturday,7,May,5,2,2006
20060514,5/14/2006,Sunday,1,May,5,2,2006
20060515,5/15/2006,Monday,2,May,5,2,2006
20060516,5/16/2006,Tuesday,3,May,5,2,2006
20060517,5/17/2006,Wednesday,4,May,5,2,2006
20060518,5/18/2006,Thursday,5,May,5,2,2006
20060519,5/19/2006,Friday,6,May,5,2,2006
20060520,5/20/2006,Saturday,7,May,5,2,2006
20060521,5/21/2006,Sunday,1,May,5,2,2006
20060522,5/22/2006,Monday,2,May,5,2,2006
20060523,5/23/2006,Tuesday,3,May,5,2,2006
